category,rank,topLevelTag,iconFilename,visible,organize on list view,display name,R,G,B,A
3D,100,0,,1,0,,0,0,0,0,
3D Model,100,0,,1,0,,0,0,0,0,
AFV,100,0,,1,0,,0,0,0,0,
ASW,90,0,,1,0,,0,0,0,0,
Air,100,0,,1,0,,0,0,0,0,
Air Defense,60,0,,1,0,,0,0,0,0,
Airport,100,0,,1,0,,0,0,0,0,
Areal,100,0,,1,0,,0,0,0,0,
Armored,100,0,,1,0,,0,0,0,0,
Artillery,50,0,,1,0,,0,0,0,0,
Attack,90,0,,1,0,,0,0,0,0,
Bomber,90,0,,1,0,,0,0,0,0,
Building,100,0,,1,0,,0,0,0,0,
Cargo,100,0,,1,0,,0,0,0,0,
Carrier,100,0,,1,0,,0,0,0,0,
Civilian,70,0,,1,0,,0,0,0,0,
Commercial,70,0,,1,0,,0,0,0,0,
Construction,100,0,,1,0,,0,0,0,0,
Corvette,90,0,,1,0,,0,0,0,0,
Crowd,100,0,,1,0,,0,0,0,0,
Destroyer,90,0,,1,0,,0,0,0,0,
Emergency,100,0,,1,0,,0,0,0,0,
Empty Unit,100,0,,1,0,,0,0,0,0,
Expendable,100,0,,1,0,,0,0,0,0,
Explosive Device,100,0,,1,0,,0,0,0,0,
Fighter,90,0,,1,0,,0,0,0,0,
Fire Truck,100,0,,1,0,,0,0,0,0,
Fixed Wing,50,0,,1,0,,0,0,0,0,
Frigate,90,0,,1,0,,0,0,0,0,
Hazard,100,0,,1,0,,0,0,0,0,
Infantry,100,0,,1,0,,0,0,0,0,
Linear,100,0,,1,0,,0,0,0,0,
MAK Rights,100,0,,1,0,,0,0,0,0,
Materially Classified,200,0,,1,0,,0,0,0,0,
Military,70,0,,1,0,,0,0,0,0,
Military",100,0,,1,0,,0,0,0,0,
Minefield,100,0,,1,0,,0,0,0,0,
Minefield Graphic,100,0,,1,0,,0,0,0,0,
Missile,50,0,,1,0,,0,0,0,0,
Model,100,0,,1,0,,0,0,0,0,
Model",100,0,,1,0,,0,0,0,0,
Munition,100,0,,1,0,,0,0,0,0,
New Entity,100,0,,1,0,,0,0,0,0,
Object Group,60,0,,0,0,,0,0,0,0,
Patrol Boat,90,0,,1,0,,0,0,0,0,
Pedestrian,100,0,,1,0,,0,0,0,0,
Police,100,0,,1,0,,0,0,0,0,
RPG,100,0,,1,0,,0,0,0,0,
Refueling,90,0,,1,0,,0,0,0,0,
Rotary Wing,50,0,,1,0,,0,0,0,0,
Simthetic,100,0,,1,0,,0,0,0,0,
Space,50,0,,1,0,,0,0,0,0,
Subsurface,50,0,,1,0,,0,0,0,0,
Surface,50,0,,1,0,,0,0,0,0,
Surveillance,100,0,,1,0,,0,0,0,0,
Symbol,100,0,,1,0,,0,0,0,0,
Tank,90,0,,1,0,,0,0,0,0,
Tow Hook,100,0,,1,0,,0,0,0,0,
Towable,100,0,,1,0,,0,0,0,0,
Tracked,100,0,,1,0,,0,0,0,0,
Unit,20,2,DisplayAggregate.svg,1,0,,0,0,0,0,
Unmanned,90,0,,1,0,,0,0,0,0,
Utility,100,0,,1,0,,0,0,0,0,
VR-Engage,20,0,,1,0,,0,0,0,0,
Visual Quality,100,0,,1,0,,0,0,0,0,
Vortex,25,0,,1,0,,0,0,0,0,
cannon,100,0,,1,0,,0,0,0,0,
handheld,100,0,,1,0,,0,0,0,0,
mm gun,100,0,,1,0,,0,0,0,0,
smoke,100,0,,1,0,,0,0,0,0,
